iter	Passed	Remaining
444	1188	1482
445	1190	1479
446	1193	1476
447	1196	1474
448	1199	1471
449	1201	1468
450	1204	1466
451	1206	1463
452	1208	1459
453	1211	1456
454	1213	1453
455	1215	1450
456	1218	1447
457	1220	1444
458	1222	1441
459	1225	1438
460	1227	1435
461	1229	1431
462	1232	1429
463	1235	1426
464	1237	1423
465	1240	1421
466	1242	1417
467	1244	1415
468	1247	1411
469	1249	1408
470	1251	1405
471	1253	1402
472	1256	1399
473	1258	1396
474	1260	1393
475	1262	1390
476	1265	1388
477	1268	1385
478	1270	1382
479	1272	1378
480	1274	1375
481	1277	1372
482	1279	1369
483	1281	1366
484	1283	1363
485	1286	1360
486	1288	1356
487	1290	1353
488	1292	1350
489	1294	1347
490	1296	1344
491	1298	1341
492	1300	1337
493	1303	1334
494	1305	1331
495	1307	1328
496	1309	1325
497	1312	1322
498	1314	1319
499	1316	1316
500	1318	1313
501	1320	1310
502	1322	1307
503	1325	1304
504	1327	1301
505	1329	1298
506	1332	1295
507	1334	1292
508	1336	1289
509	1339	1286
510	1341	1283
511	1343	1280
512	1346	1277
513	1348	1275
514	1351	1272
515	1353	1269
516	1355	1266
517	1358	1263
518	1360	1261
519	1363	1258
520	1365	1255
521	1368	1253
522	1370	1250
523	1373	1247
524	1375	1244
525	1377	1241
526	1380	1238
527	1382	1236
528	1385	1233
529	1387	1230
530	1390	1227
531	1392	1224
532	1394	1221
533	1397	1219
534	1399	1216
535	1402	1214
536	1405	1212
537	1408	1209
538	1410	1206
539	1413	1204
540	1416	1201
541	1418	1198
542	1421	1196
543	1423	1193
544	1426	1190
545	1428	1188
546	1431	1185
547	1433	1182
548	1435	1179
549	1437	1176
550	1440	1173
551	1442	1170
552	1445	1168
553	1447	1165
554	1449	1162
555	1452	1159
556	1455	1157
557	1458	1155
558	1460	1152
559	1462	1149
560	1465	1146
561	1467	1143
562	1469	1140
563	1471	1137
564	1473	1134
565	1476	1132
566	1478	1129
567	1481	1126
568	1484	1124
569	1488	1122
570	1490	1119
571	1492	1117
572	1495	1114
573	1497	1111
574	1499	1108
575	1502	1105
576	1504	1103
577	1506	1100
578	1509	1097
579	1511	1094
580	1513	1091
581	1516	1089
582	1518	1086
583	1521	1083
584	1523	1081
585	1526	1078
586	1528	1075
587	1530	1072
588	1533	1069
589	1535	1067
590	1538	1064
591	1540	1061
592	1542	1059
593	1545	1056
594	1547	1053
595	1549	1050
596	1552	1048
597	1555	1045
598	1557	1042
599	1559	1039
600	1561	1036
601	1563	1033
602	1566	1031
603	1568	1028
604	1571	1025
605	1573	1023
606	1576	1020
607	1579	1018
608	1581	1015
609	1584	1012
610	1586	1010
611	1589	1007
612	1591	1004
613	1593	1001
614	1596	999
615	1598	996
616	1600	993
617	1603	990
618	1605	987
619	1607	985
620	1609	982
621	1612	979
622	1614	976
623	1616	974
624	1619	971
625	1621	968
626	1623	966
627	1626	963
628	1628	960
629	1630	957
630	1633	954
631	1635	952
632	1637	949
633	1640	946
634	1642	944
635	1645	941
636	1647	939
637	1650	936
638	1652	933
639	1654	930
640	1657	928
641	1660	925
642	1662	923
643	1664	920
644	1667	917
645	1669	914
646	1671	912
647	1674	909
648	1676	906
649	1678	903
650	1681	901
651	1684	898
652	1686	896
653	1689	893
654	1692	891
655	1694	888
656	1697	886
657	1699	883
658	1702	880
659	1704	878
660	1707	875
661	1710	873
662	1712	870
663	1715	867
664	1717	865
665	1719	862
666	1722	859
667	1724	856
668	1726	854
669	1729	851
670	1731	848
671	1733	846
672	1736	843
673	1738	840
674	1741	838
675	1743	835
676	1745	832
677	1747	830
678	1750	827
679	1753	824
680	1755	822
681	1757	819
682	1760	817
683	1763	814
684	1766	812
685	1769	810
686	1772	807
687	1775	804
688	1777	802
689	1779	799
690	1782	796
691	1784	794
692	1787	791
693	1790	789
694	1792	786
695	1794	784
696	1797	781
697	1800	778
698	1802	776
699	1804	773
700	1807	770
701	1809	768
702	1811	765
703	1814	762
704	1816	760
705	1818	757
706	1821	755
707	1824	752
708	1827	749
709	1829	747
710	1831	744
711	1834	742
712	1836	739
713	1838	736
714	1841	733
715	1843	731
716	1846	728
717	1848	726
718	1851	723
719	1853	720
720	1856	718
721	1859	715
722	1861	713
723	1864	710
724	1866	708
725	1869	705
726	1871	702
727	1873	700
728	1876	697
729	1878	694
730	1880	692
731	1883	689
732	1885	686
733	1887	684
734	1890	681
735	1893	679
736	1895	676
737	1898	673
738	1900	671
739	1902	668
740	1904	665
741	1907	663
742	1909	660
743	1911	657
744	1913	655
745	1916	652
746	1918	649
747	1921	647
748	1923	644
749	1926	642
750	1928	639
751	1931	637
752	1934	634
753	1936	631
754	1939	629
755	1942	626
756	1944	624
757	1947	621
758	1949	619
759	1952	616
760	1954	613
761	1956	611
762	1959	608
763	1961	605
764	1963	603
765	1966	600
766	1968	598
767	1971	595
768	1973	592
769	1975	590
770	1977	587
771	1979	584
772	1982	582
773	1984	579
774	1987	576
775	1989	574
776	1991	571
777	1993	568
778	1996	566
779	1998	563
780	2001	561
781	2003	558
782	2005	555
783	2007	553
784	2010	550
785	2012	547
786	2014	545
787	2016	542
788	2019	539
789	2021	537
790	2023	534
791	2026	532
792	2028	529
793	2031	527
794	2033	524
795	2036	521
796	2038	519
797	2040	516
798	2043	514
799	2045	511
800	2048	508
801	2050	506
802	2052	503
803	2055	501
804	2057	498
805	2060	495
806	2062	493
807	2065	490
808	2067	488
809	2070	485
810	2072	482
811	2074	480
812	2076	477
813	2078	475
814	2081	472
815	2083	469
816	2085	467
817	2088	464
818	2090	462
819	2093	459
820	2095	456
821	2098	454
822	2100	451
823	2102	449
824	2104	446
825	2107	443
826	2109	441
827	2111	438
828	2114	436
829	2116	433
830	2119	430
831	2121	428
832	2123	425
833	2125	423
834	2128	420
835	2130	418
836	2133	415
837	2136	412
838	2138	410
839	2140	407
840	2143	405
841	2145	402
842	2148	400
843	2150	397
844	2153	394
845	2155	392
846	2158	389
847	2160	387
848	2163	384
849	2165	382
850	2167	379
851	2170	377
852	2172	374
853	2175	371
854	2178	369
855	2180	366
856	2182	364
857	2185	361
858	2187	359
859	2189	356
860	2192	353
861	2194	351
862	2197	348
863	2199	346
864	2202	343
865	2204	341
866	2206	338
867	2209	335
868	2211	333
869	2214	330
870	2216	328
871	2219	325
872	2221	323
873	2223	320
874	2225	317
875	2228	315
876	2230	312
877	2232	310
878	2234	307
879	2237	305
880	2240	302
881	2242	300
882	2244	297
883	2247	294
884	2249	292
885	2251	289
886	2254	287
887	2256	284
888	2258	282
889	2260	279
890	2263	276
891	2265	274
892	2267	271
893	2270	269
894	2272	266
895	2275	264
896	2278	261
897	2280	259
898	2282	256
899	2284	253
900	2287	251
901	2289	248
902	2291	246
903	2294	243
904	2297	241
905	2299	238
906	2301	236
907	2304	233
908	2306	230
909	2308	228
910	2310	225
911	2313	223
912	2315	220
913	2318	218
914	2320	215
915	2324	213
916	2326	210
917	2329	208
918	2331	205
919	2334	202
920	2336	200
921	2339	197
922	2342	195
923	2344	192
924	2347	190
925	2349	187
926	2351	185
927	2354	182
928	2356	180
929	2359	177
930	2361	175
931	2363	172
932	2365	169
933	2367	167
934	2370	164
935	2372	162
936	2375	159
937	2377	157
938	2380	154
939	2383	152
940	2385	149
941	2387	147
942	2390	144
943	2392	141
944	2395	139
945	2397	136
946	2400	134
947	2402	131
948	2404	129
949	2406	126
950	2409	124
951	2411	121
952	2413	119
953	2416	116
954	2418	113
955	2420	111
956	2423	108
957	2425	106
958	2428	103
959	2430	101
960	2432	98
961	2435	96
962	2438	93
963	2440	91
964	2443	88
965	2445	86
966	2448	83
967	2450	81
968	2453	78
969	2455	75
970	2457	73
971	2460	70
972	2462	68
973	2465	65
974	2467	63
975	2469	60
976	2471	58
977	2473	55
978	2476	53
979	2478	50
980	2480	48
981	2483	45
982	2485	42
983	2487	40
984	2490	37
985	2493	35
986	2495	32
987	2497	30
988	2499	27
989	2502	25
990	2504	22
991	2506	20
992	2509	17
993	2511	15
994	2513	12
995	2516	10
996	2518	7
997	2521	5
998	2523	2
999	2526	0
